date,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejongsi,Gyeonggi-do,Gangwon-do,Chungcheongbuk-do,Chungcheongnam-do,Jeollabuk-do,Jeollanam-do,Gyeongsangbuk-do,Gyeongsangnam-do,Jeju-do
2020-03-06,80,92,"4,648",7,10,18,22,1,105,22,14,90,5,5,938,73,4
2020-03-07,81,93,"5,035",7,10,18,22,2,115,22,19,92,5,4,998,78,4
2020-03-08,92,87,"5,328",7,10,17,23,3,124,23,23,98,5,4,"1,027",79,4
2020-03-09,101,86,"5,515",7,12,18,23,6,129,24,22,101,5,3,"1,036",74,3
2020-03-10,110,86,"5,533",10,12,17,23,8,140,21,22,103,5,3,"1,043",73,3
2020-03-11,156,76,"5,649",22,12,16,23,10,149,22,24,111,5,3,"1,052",74,3
2020-03-12,174,70,"5,705",21,11,18,22,15,150,22,23,109,5,3,"1,044",75,3
2020-03-13,185,64,"5,629",23,11,18,24,32,152,22,23,108,3,3,"1,028",74,3
2020-03-14,194,63,"5,538",24,11,18,22,38,161,22,23,106,3,2,998,74,3
2020-03-15,200,53,"5,510",26,12,18,22,39,168,21,25,105,3,2,977,69,3
2020-03-16,201,53,"5,279",26,12,18,21,40,180,21,25,103,3,2,969,65,2
2020-03-17,210,52,"5,094",26,10,18,20,40,204,20,26,100,3,2,941,64,2
2020-03-18,215,48,"5,038",27,11,18,21,41,215,21,27,102,4,3,922,63,2
2020-03-19,224,48,"4,794",26,10,18,27,41,228,20,28,87,5,2,894,57,2
2020-03-20,235,47,"4,631",29,8,17,25,41,240,19,27,87,3,2,841,54,2
2020-03-21,250,40,"4,410",33,8,17,25,39,239,17,26,80,3,2,824,47,2
2020-03-22,260,38,"4,205",32,9,18,24,38,252,16,26,81,3,3,798,46,1
2020-03-23,266,37,"4,024",32,9,18,19,39,260,15,28,76,3,3,763,44,1
2020-03-24,262,39,"3,783",33,8,18,18,39,265,15,27,64,3,3,724,42,0
2020-03-25,275,38,"3,624",32,8,18,18,41,283,15,25,58,3,5,696,39,2
2020-03-26,280,35,"3,349",32,8,24,17,36,275,12,25,56,3,5,643,33,2
2020-03-27,283,30,"3,094",33,9,22,19,35,277,10,24,46,3,5,599,29,3
2020-03-28,297,31,"2,943",37,9,21,20,35,288,11,20,45,3,5,558,28,4
2020-03-29,317,29,"2,798",43,9,20,20,35,299,12,20,44,5,6,518,30,4
2020-03-30,334,28,"2,676",43,7,17,20,34,298,14,23,44,6,6,488,30,5
2020-03-31,343,29,"2,624",48,6,18,20,34,304,12,22,38,6,6,454,29,6
2020-04-01,357,32,"2,519",50,10,18,18,34,322,14,21,40,7,9,441,33,6
2020-04-02,361,32,"2,325",53,11,18,18,34,329,15,21,38,7,11,423,36,6
2020-04-03,375,31,"2,179",53,11,18,18,34,347,17,20,37,8,12,402,36,6
2020-04-04,384,29,"1,966",55,11,18,15,31,356,18,18,33,8,11,385,33,5
2020-04-05,407,29,"1,868",54,12,19,12,31,357,20,17,33,9,11,371,32,8
2020-04-06,412,28,"1,787",53,12,20,12,29,360,21,16,34,9,11,349,31,8
2020-04-07,403,29,"1,742",53,12,19,11,29,357,22,16,33,9,11,337,32,8
2020-04-08,407,28,"1,705",57,12,19,11,32,349,24,16,31,10,11,320,33,8
2020-04-09,414,25,"1,562",53,12,19,11,30,336,24,15,33,10,11,305,33,8
2020-04-10,408,25,"1,472",51,12,18,11,26,335,22,17,33,9,11,285,33,8
2020-04-11,402,23,"1,398",50,10,17,10,26,327,22,17,32,9,10,278,32,8
2020-04-12,398,20,"1,314",48,8,16,8,24,324,21,16,31,9,10,271,31,8
2020-04-13,394,20,"1,277",48,8,16,7,24,313,20,14,30,9,9,267,31,7
2020-04-14,382,20,"1,230",46,6,15,8,25,313,19,14,26,9,9,263,31,7
2020-04-15,376,17,"1,182",40,7,15,8,25,310,23,14,25,9,8,263,31,8
2020-04-16,367,16,"1,083",37,6,14,7,25,305,24,11,24,8,8,258,33,8
2020-04-17,351,15,"1,042",38,8,15,7,22,296,23,8,24,8,8,269,31,8
2020-04-18,346,15,985,35,8,14,7,21,279,24,7,22,8,8,261,32,7
2020-04-19,334,12,928,36,8,14,7,17,270,23,7,19,8,7,251,31,7
2020-04-20,318,14,901,36,8,13,8,17,255,23,7,19,8,7,246,29,7
2020-04-21,309,14,878,36,8,13,7,17,246,21,6,18,8,7,238,28,7
2020-04-22,304,16,844,35,8,13,7,13,240,20,6,19,8,7,233,28,5
2020-04-23,284,16,784,36,6,11,6,12,221,20,5,18,8,7,220,28,5
2020-04-24,264,17,745,38,6,10,6,12,205,20,5,18,6,7,215,26,5
2020-04-25,244,17,705,37,5,8,6,11,200,19,5,18,7,7,208,26,5
2020-04-26,239,18,660,35,5,6,6,11,191,17,5,18,8,6,203,24,6
2020-04-27,234,17,638,34,5,6,6,11,187,16,5,19,8,6,198,23,5
2020-04-28,204,18,623,30,5,5,6,11,185,14,5,19,8,5,194,20,6
2020-04-29,194,18,606,27,4,5,5,10,180,14,5,20,8,5,180,20,5
2020-04-30,178,18,536,25,3,5,5,8,175,11,4,16,7,4,166,20,5
2020-05-01,177,18,536,25,3,5,5,7,174,11,4,15,6,3,165,19,5
2020-05-02,170,18,523,25,2,4,5,5,164,9,4,15,6,3,160,18,5
2020-05-03,162,18,515,23,2,4,5,4,154,8,3,15,6,3,149,17,5
2020-05-04,154,18,505,24,2,3,6,2,150,9,3,15,6,4,140,16,5
2020-05-05,146,18,481,26,2,3,5,1,147,9,3,15,6,4,127,15,5
2020-05-06,141,16,462,25,2,1,6,1,140,9,3,15,6,4,123,13,1
2020-05-07,127,15,429,25,2,2,6,1,128,9,4,15,4,4,115,12,1
2020-05-08,115,14,404,22,2,2,6,1,130,10,6,13,5,4,107,12,1
2020-05-09,111,13,375,20,1,2,5,1,124,10,6,10,5,4,98,10,0
2020-05-10,120,13,365,21,0,2,5,1,122,10,7,10,5,4,93,9,1
2020-05-11,136,13,365,22,0,2,5,2,125,11,10,9,5,4,85,7,1
2020-05-12,139,13,352,23,0,4,3,2,131,11,10,7,5,4,83,6,2
2020-05-13,146,15,364,21,0,4,3,1,129,10,9,5,6,4,82,6,2
2020-05-14,143,14,337,34,0,3,3,1,121,10,12,6,6,4,77,5,2
2020-05-15,152,14,323,39,0,3,5,0,118,9,12,5,6,5,69,4,2
2020-05-16,152,11,321,39,0,3,4,0,118,8,13,5,4,5,61,3,3
2020-05-17,156,11,313,39,0,4,3,0,107,8,13,4,4,5,60,5,3
2020-05-18,153,11,313,38,0,4,3,0,108,7,16,4,2,4,57,5,3
2020-05-19,151,11,300,39,0,4,7,1,107,7,16,4,1,5,53,6,3
2020-05-20,156,10,219,46,0,4,6,0,108,6,15,3,2,4,43,4,1
2020-05-21,156,10,192,51,0,4,6,0,87,6,15,4,2,2,42,4,1
2020-05-22,155,10,185,51,0,4,7,0,91,6,15,4,2,2,40,5,1
2020-05-23,154,10,174,50,0,4,7,0,100,6,14,4,2,2,38,6,1
2020-05-24,160,10,172,51,0,4,7,0,99,7,13,4,2,1,41,6,1
2020-05-25,163,10,172,52,0,4,7,0,103,6,13,4,2,1,38,4,1
2020-05-26,165,10,138,54,0,4,7,0,104,5,14,4,2,1,38,4,1
2020-05-27,180,6,137,65,0,4,7,0,109,5,14,4,2,1,37,4,1
2020-05-28,201,6,120,87,0,4,5,0,130,4,14,5,2,1,34,4,1
2020-05-29,219,6,109,105,0,2,5,0,149,3,14,5,2,1,32,4,1
